Time (UTC),Actual_Load_MW,mean_global_radiation,mean_wind_speed,precipitation_mm,temperature_2m_C,is_public_holiday,is_weekend,is_special_day,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos
2023-07-26 06:45:00+00:00,58.52305721,371.0,0.4,0.0,16.6,0,0,0,0.9807852804032304,-0.1950903220161282,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 07:00:00+00:00,54.98290083,424.5,0.75,0.0,16.9,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 07:15:00+00:00,63.10954308,329.0,0.7,0.0,16.7,0,0,0,0.9469301294951057,-0.3214394653031616,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 07:30:00+00:00,58.26033443,491.5,1.05,0.0,17.1,0,0,0,0.9238795325112868,-0.3826834323650895,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 07:45:00+00:00,60.16878511,353.0,1.1,0.0,17.2,0,0,0,0.8968727415326884,-0.44228869021900113,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 08:00:00+00:00,64.71751074,397.0,1.35,0.0,17.5,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 08:15:00+00:00,64.54906328,376.0,1.5,0.0,17.5,0,0,0,0.8314696123025451,-0.5555702330196023,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 08:30:00+00:00,64.9773464,342.0,0.85,0.0,17.55,0,0,0,0.7933533402912352,-0.6087614290087207,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 08:45:00+00:00,72.84470134,474.0,1.2,0.0,18.0,0,0,0,0.7518398074789774,-0.6593458151000688,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 09:00:00+00:00,69.44518619,460.0,1.2,0.0,18.55,0,0,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 09:15:00+00:00,69.8639749,463.0,1.0,0.0,19.1,0,0,0,0.659345815100069,-0.7518398074789773,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 09:30:00+00:00,81.75191308,358.0,1.1,0.0,18.9,0,0,0,0.6087614290087209,-0.793353340291235,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 09:45:00+00:00,77.88898374,307.0,1.6,0.0,18.8,0,0,0,0.5555702330196025,-0.831469612302545,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 10:00:00+00:00,77.05482733,438.0,0.8,0.0,19.15,0,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 10:15:00+00:00,83.63147572,753.0,1.2,0.0,19.3,0,0,0,0.4422886902190017,-0.8968727415326881,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 10:30:00+00:00,90.53897443,471.0,1.5,0.0,19.65,0,0,0,0.3826834323650899,-0.9238795325112867,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 10:45:00+00:00,86.89078586,658.0,1.6,0.0,19.8,0,0,0,0.32143946530316175,-0.9469301294951056,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 11:00:00+00:00,99.18159674,617.5,1.65,0.0,19.85,0,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 11:15:00+00:00,104.2280757,541.0,2.1,0.0,20.1,0,0,0,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 11:30:00+00:00,95.35317685,784.0,2.55,0.0,20.35,0,0,0,0.130526192220052,-0.9914448613738104,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 11:45:00+00:00,98.43552582,568.0,3.7,0.0,20.2,0,0,0,0.06540312923014312,-0.9978589232386035,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 12:00:00+00:00,110.0074033,709.0,2.95,0.0,20.25,0,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 12:15:00+00:00,102.6181029,673.0,3.4,0.0,20.5,0,0,0,-0.06540312923014287,-0.9978589232386035,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 12:30:00+00:00,100.4608973,733.0,3.05,0.0,20.65,0,0,0,-0.13052619222005177,-0.9914448613738104,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 12:45:00+00:00,102.8599182,459.0,2.1,0.0,20.4,0,0,0,-0.19509032201612792,-0.9807852804032305,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 13:00:00+00:00,96.77402898,297.0,2.15,0.0,20.45,0,0,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 13:15:00+00:00,92.53142608,142.0,1.6,0.0,20.2,0,0,0,-0.32143946530316153,-0.9469301294951057,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 13:30:00+00:00,91.41073976,267.5,1.35,0.0,20.1,0,0,0,-0.38268343236508967,-0.9238795325112868,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 13:45:00+00:00,85.82736871,233.0,1.0,0.0,20.2,0,0,0,-0.44228869021900147,-0.8968727415326883,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 14:00:00+00:00,91.91277131,425.5,1.3,0.0,20.25,0,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 14:15:00+00:00,89.80538274,602.0,3.4,0.0,20.4,0,0,0,-0.555570233019602,-0.8314696123025455,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 14:30:00+00:00,83.22603123,686.5,3.9,0.0,20.15,0,0,0,-0.6087614290087207,-0.7933533402912352,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 14:45:00+00:00,79.2341209,661.0,3.6,0.0,20.4,0,0,0,-0.6593458151000688,-0.7518398074789775,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 15:00:00+00:00,76.56190948,368.0,3.1,0.0,20.05,0,0,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 15:15:00+00:00,72.82840604,188.0,2.0,0.0,19.6,0,0,0,-0.7518398074789773,-0.6593458151000691,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 15:30:00+00:00,67.22806395,189.0,1.75,0.0,19.45,0,0,0,-0.7933533402912349,-0.6087614290087209,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 15:45:00+00:00,70.10461417,299.0,1.8,0.0,19.7,0,0,0,-0.8314696123025452,-0.5555702330196022,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-07-26 16:00:00+00:00,69.66030593,384.5,1.25,0.0,20.0,0,0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
